iter	Passed	Remaining
400	34609	51697
401	34692	51607
402	34769	51507
403	34864	51433
404	34950	51347
405	35031	51253
406	35123	51175
407	35215	51096
408	35306	51018
409	35399	50940
410	35483	50850
411	35565	50758
412	35650	50669
413	35734	50580
414	35815	50486
415	35915	50419
416	35997	50328
417	36080	50236
418	36167	50150
419	36252	50062
420	36337	49975
421	36426	49892
422	36510	49803
423	36597	49717
424	36681	49628
425	36769	49543
426	36844	49441
427	36942	49372
428	37022	49277
429	37103	49183
430	37182	49087
431	37273	49007
432	37356	48917
433	37443	48831
434	37527	48742
435	37607	48648
436	37690	48557
437	37771	48464
438	37859	48380
439	37954	48305
440	38037	48215
441	38117	48121
442	38197	48027
443	38278	47934
444	38367	47851
445	38454	47766
446	38535	47674
447	38619	47584
448	38692	47482
449	38773	47389
450	38860	47305
451	38946	47218
452	39050	47153
453	39133	47064
454	39231	46991
455	39314	46901
456	39393	46806
457	39480	46721
458	39561	46629
459	39637	46530
460	39714	46434
461	39797	46343
462	39878	46252
463	39957	46157
464	40171	46219
465	40255	46130
466	40339	46041
467	40425	45954
468	40506	45861
469	40587	45768
470	40673	45681
471	40755	45590
472	40836	45498
473	40918	45407
474	40997	45313
475	41082	45224
476	41167	45137
477	41274	45073
478	41349	44975
479	41441	44894
480	41523	44803
481	41600	44707
482	41687	44622
483	41768	44530
484	41845	44433
485	41925	44340
486	42004	44247
487	42090	44160
488	42170	44068
489	42269	43994
490	42377	43930
491	42466	43847
492	42558	43767
493	42647	43683
494	42739	43602
495	42834	43525
496	42921	43439
497	43011	43357
498	43111	43284
499	43201	43201
500	43314	43141
501	43399	43053
502	43483	42964
503	43566	42874
504	43648	42784
505	43731	42694
506	43816	42606
507	43897	42514
508	43979	42424
509	44064	42336
510	44168	42266
511	44281	42206
512	44413	42162
513	44515	42090
514	44601	42002
515	44687	41915
516	44772	41828
517	44858	41740
518	44952	41661
519	45046	41581
520	45135	41496
521	45224	41412
522	45314	41329
523	45417	41257
524	45502	41168
525	45590	41083
526	45672	40992
527	45761	40907
528	45848	40821
529	45934	40734
530	46015	40642
531	46096	40551
532	46179	40461
533	46265	40374
534	46345	40281
535	46459	40218
536	46542	40128
537	46627	40040
538	46714	39954
539	46796	39863
540	46882	39776
541	46967	39688
542	47045	39594
543	47134	39509
544	47219	39421
545	47297	39327
546	47381	39239
547	47485	39167
548	47566	39075
549	47647	38984
550	47733	38897
551	47812	38804
552	47895	38714
553	47976	38624
554	48054	38530
555	48141	38443
556	48232	38361
557	48315	38271
558	48393	38177
559	48477	38089
560	48583	38018
561	48680	37939
562	48773	37858
563	48867	37777
564	48959	37694
565	49046	37608
566	49131	37519
567	49232	37444
568	49329	37365
569	49415	37278
570	49500	37190
571	49600	37113
572	49684	37024
573	49758	36928
574	49837	36836
575	49924	36750
576	50004	36658
577	50092	36572
578	50171	36480
579	50255	36391
580	50334	36299
581	50417	36210
582	50501	36122
583	50591	36037
584	50692	35961
585	50777	35873
586	50863	35786
587	50944	35695
588	51028	35607
589	51110	35517
590	51191	35427
591	51280	35341
592	51355	35247
593	51443	35161
594	51529	35074
595	51608	34983
596	51710	34906
597	51788	34814
598	51865	34721
599	51947	34631
600	52028	34541
601	52116	34455
602	52200	34367
603	52289	34282
604	52371	34193
605	52464	34110
606	52544	34019
607	52624	33928
608	52732	33855
609	52815	33767
610	52901	33680
611	52987	33593
612	53072	33505
613	53153	33415
614	53241	33329
615	53322	33240
616	53416	33157
617	53492	33065
618	53570	32973
619	53650	32882
620	53733	32793
621	53839	32719
622	53920	32629
623	54001	32539
624	54079	32447
625	54164	32360
626	54263	32281
627	54340	32189
628	54428	32103
629	54513	32015
630	54594	31926
631	54673	31835
632	54755	31746
633	54856	31667
634	54936	31577
635	55024	31492
636	55123	31412
637	55212	31327
638	55305	31244
639	55392	31158
640	55476	31070
641	55579	30992
642	55671	30909
643	55769	30829
644	55907	30770
645	56000	30687
646	56084	30599
647	56172	30513
648	56256	30425
649	56346	30340
650	56443	30259
651	56525	30170
652	56610	30082
653	56693	29994
654	56774	29904
655	56855	29814
656	56960	29737
657	57049	29652
658	57133	29563
659	57214	29474
660	57297	29385
661	57378	29295
662	57468	29211
663	57547	29120
664	57623	29028
665	57706	28939
666	57784	28848
667	57864	28759
668	57955	28674
669	58062	28597
670	58145	28509
671	58230	28422
672	58330	28342
673	58423	28258
674	58520	28176
675	58605	28089
676	58693	28003
677	58787	27919
678	58879	27835
679	58968	27749
680	59082	27675
681	59167	27588
682	59256	27502
683	59341	27415
684	59426	27327
685	59509	27238
686	59596	27152
687	59683	27065
688	59767	26977
689	59853	26890
690	59942	26804
691	60026	26716
692	60136	26640
693	60226	26555
694	60309	26466
695	60397	26380
696	60481	26292
697	60570	26206
698	60658	26120
699	60745	26033
700	60820	25941
701	60904	25853
702	60983	25763
703	61067	25676
704	61155	25589
705	61259	25510
706	61343	25422
707	61423	25332
708	61504	25243
709	61584	25154
710	61671	25067
711	61754	24979
712	61832	24889
713	61909	24798
714	61989	24708
715	62069	24619
716	62146	24529
717	62251	24449
718	62323	24357
719	62406	24269
720	62489	24181
721	62567	24091
722	62656	24005
723	62744	23919
724	62827	23831
725	62917	23745
726	62995	23655
727	63077	23567
728	63147	23474
729	63223	23384
730	63333	23306
731	63420	23219
732	63505	23132
733	63587	23043
734	63671	22956
735	63751	22867
736	63836	22780
737	63919	22692
738	64006	22605
739	64088	22517
740	64196	22438
741	64286	22352
742	64397	22274
743	64477	22185
744	64565	22099
745	64644	22010
746	64716	21918
747	64784	21825
748	64874	21740
749	64972	21657
750	65079	21577
751	65172	21493
752	65263	21407
753	65343	21319
754	65453	21239
755	65537	21152
756	65620	21064
757	65704	20976
758	65794	20891
759	65883	20805
760	65969	20718
761	66048	20629
762	66131	20541
763	66229	20458
764	66319	20372
765	66411	20287
766	66533	20211
767	66615	20123
768	66708	20038
769	66798	19952
770	66888	19866
771	66980	19781
772	67075	19697
773	67159	19609
774	67248	19523
775	67332	19436
776	67414	19348
777	67498	19260
778	67605	19179
779	67688	19091
780	67765	19002
781	67852	18915
782	67934	18827
783	68026	18741
784	68113	18655
785	68200	18568
786	68286	18481
787	68370	18394
788	68448	18304
789	68527	18216
790	68637	18135
791	68719	18047
792	68800	17959
793	68888	17872
794	68972	17785
795	69057	17698
796	69143	17611
797	69245	17528
798	69327	17440
799	69414	17353
800	69499	17266
801	69581	17178
802	69684	17095
803	69771	17008
804	69853	16921
805	69947	16836
806	70034	16749
807	70125	16663
808	70214	16577
809	70302	16490
810	70397	16405
811	70497	16321
812	70581	16234
813	70665	16147
814	70775	16065
815	70857	15977
816	70935	15888
817	71028	15803
818	71112	15716
819	71199	15629
820	71284	15541
821	71375	15455
822	71452	15367
823	71536	15279
824	71623	15192
825	71706	15105
