iter	F1:use_weights=false	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
145	0.6791898907	0.396848556	0.81604779	0.8378058618
146	0.6794323525	0.3966636752	0.8162000385	0.8379456843
147	0.6797694255	0.3962376855	0.8164404308	0.8380747513
148	0.6798689696	0.396021475	0.8165045354	0.8381285292
149	0.6803803527	0.3956774875	0.8168370781	0.8383974187
150	0.6805351711	0.3955452232	0.8169452547	0.8384619521
151	0.6806799566	0.3953711549	0.8170253854	0.8385695079
152	0.6805812642	0.3951629018	0.8169572743	0.8385264856
153	0.68072161	0.394845754	0.8170574377	0.8385802635
154	0.6804347364	0.3946686696	0.8168851566	0.8383974187
155	0.6803606362	0.3945023883	0.8168531043	0.8383221296
156	0.6808302497	0.3941939013	0.8171535947	0.8385802635
157	0.6810564818	0.3939225726	0.8173058431	0.8386878193
158	0.6812691392	0.3936967812	0.817446072	0.8387953751
159	0.6812509301	0.3934562727	0.8174540851	0.8387415972
160	0.6811098118	0.3931399144	0.8173579281	0.8386770637
161	0.6814257156	0.3928610857	0.8175462355	0.8388814197
162	0.6817031951	0.3926579488	0.817758582	0.8389567088
163	0.6818403995	0.3923708459	0.8178707651	0.83897822
164	0.6819003082	0.3921956042	0.8178948043	0.8390427534
165	0.6822654341	0.3920233556	0.8181512228	0.8391933315
166	0.6823059434	0.3918108873	0.8181872816	0.8391933315
167	0.6826179346	0.391651145	0.8183916151	0.8393546652
168	0.6829029859	0.3913955225	0.8185719094	0.8395159989
169	0.6829600034	0.3911646213	0.8186079682	0.8395482657
170	0.6831300208	0.3909875756	0.8187201513	0.8396343103
171	0.6834388679	0.3908060813	0.8189365044	0.8397633773
172	0.6836357455	0.3906202556	0.8190727267	0.8398494219
173	0.6841903952	0.3904255493	0.8194293086	0.8401505781
174	0.6843078493	0.390083846	0.8194894067	0.8402473783
175	0.6847015322	0.3899022934	0.8197618513	0.8404194676
176	0.6849687646	0.3896292494	0.8199461521	0.840537779
177	0.6848627851	0.3894531733	0.8198459887	0.8405485346
178	0.6853170638	0.3892089997	0.8201424725	0.8407851573
179	0.6852415084	0.3889997557	0.8200543287	0.8408281796
180	0.6854735767	0.3888273195	0.8201865444	0.8409895133
181	0.6854735767	0.388715463	0.8201865444	0.8409895133
182	0.6857908961	0.3885494758	0.8203748518	0.8411938693
183	0.6860767037	0.388356639	0.820555146	0.841355203
184	0.6862578201	0.3881678511	0.8206873618	0.8414197365
185	0.686774942	0.3879470688	0.8210038783	0.8417316483
186	0.6871102977	0.3877395126	0.8212442706	0.8418607152
187	0.6869972335	0.3875670116	0.8211681464	0.8418069373
188	0.6874640904	0.3874004324	0.8214806564	0.8420328045
189	0.6874734065	0.3872547576	0.8215046957	0.8420005378
190	0.6876503011	0.3870664231	0.8215968461	0.8421403603
191	0.6879271071	0.3869135801	0.8217531011	0.8423339607
192	0.6882956529	0.3867527057	0.8219974999	0.8425168056
193	0.6882635903	0.3864633665	0.8219894868	0.8424737833
194	0.6884841263	0.386281748	0.8221577615	0.8425383168
195	0.688670412	0.3860900693	0.8222739511	0.8426458725
196	0.6886774379	0.3859891535	0.8222539184	0.8426996504
197	0.6891106808	0.3856907831	0.8225624219	0.8428717397
198	0.689258802	0.3855449968	0.8226385461	0.8429900511
199	0.6894554129	0.3853545015	0.82272669	0.8431728959
200	0.6891822828	0.3851487984	0.8225584153	0.8430115622
201	0.6893394097	0.3850149342	0.8226585788	0.8430976069
202	0.6894716676	0.3847908262	0.822778775	0.8430976069
203	0.6897828863	0.3845803768	0.822987115	0.843248185
204	0.6897652542	0.3843701052	0.822987115	0.8432159183
205	0.6898092968	0.3841721305	0.8230111542	0.843248185
206	0.689967858	0.3839319359	0.8231073111	0.8433449852
207	0.6903585725	0.3837104312	0.8233396904	0.8435923635
208	0.6903306859	0.3835297952	0.8233196577	0.843581608
209	0.6908556332	0.3833488279	0.8236201481	0.8439365421
210	0.6907688702	0.3832970047	0.8235680631	0.8438827642
211	0.690877335	0.3831325156	0.8236562069	0.8439042753
212	0.6909214843	0.3830232916	0.8236802462	0.8439365421
213	0.6909888612	0.3829317405	0.8237363377	0.8439472977
214	0.6913101804	0.3827315664	0.8239647104	0.8440763646
215	0.6911777229	0.3826205057	0.8238925927	0.8439795644
216	0.6916361468	0.3823970219	0.8241810635	0.8442376983
217	0.6916703938	0.3822503912	0.82418507	0.8442914762
218	0.6918244351	0.382122601	0.8242932466	0.8443560097
219	0.6918654174	0.3820448333	0.8243252989	0.8443667653
220	0.6920783646	0.3818711385	0.8244655277	0.8444743211
221	0.6926322069	0.3816318793	0.8247860508	0.8448400108
222	0.6927274277	0.3814950224	0.8248181031	0.8449475666
223	0.6930798576	0.381322755	0.8250584955	0.8451089002
224	0.6933259438	0.381140128	0.8252067374	0.8452594784
225	0.6935896343	0.3810062239	0.8253990513	0.8453562786
226	0.693837529	0.3808339852	0.8255432866	0.8455176123
227	0.6939576137	0.3806994106	0.8256033847	0.8456144125
