iter
0
1
2
3	1653	411760
4
5
6
7
8	3606	397087
9
10
11
12
13	5489	386634
14
15
16
17
18	7465	385443
19
20
21
22
23	9443	384049
24
25
26
27
28	11318	378986
29
30
31
32
33	13247	376398
34
35
36
37	14858	376149
38
39
40
41	16543	377358
42
43
44
45	18203	377524
46
47
48
49	19816	376513
50
51
52
53
54	21811	374760
55
56
57
58	23439	373840
59	25293	396268
