iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
51	0.7137470836	0.4839617177	0.7733861662	0.8105512234
52	0.715840619	0.4829742965	0.7745881278	0.8110352245
53	0.7162829196	0.4817327186	0.7747764351	0.8109814466
54	0.7174980485	0.4808653619	0.7752532132	0.8107340683
55	0.7183539045	0.4799030266	0.7759182987	0.8113363807
56	0.7188108549	0.478809901	0.7761106125	0.8112718473
57	0.7193329209	0.4781498506	0.7764070964	0.8113794031
58	0.7196708697	0.4774824627	0.7766875541	0.8116590481
59	0.7194766709	0.4763390573	0.7769880445	0.8125947835
60	0.7204567424	0.4755649625	0.7775409468	0.812788384
61	0.7212181557	0.4747154962	0.7778855092	0.8127346061
62	0.721575919	0.4738154825	0.7780177249	0.8126378059
63	0.7221239649	0.4731371613	0.7784223853	0.8129712288
64	0.7227131981	0.4724875798	0.7786267188	0.8127776284
65	0.7235409244	0.4717401003	0.7792797846	0.8133799408
66	0.7239321687	0.4711418571	0.7796043142	0.8137026082
67	0.7234765476	0.470312078	0.7795762685	0.8141650981
68	0.7243102106	0.4697563045	0.7800209943	0.8142618984
69	0.7249403791	0.4692811456	0.7805017789	0.814681366
70	0.7254801562	0.4686659203	0.7808984262	0.8150040333
71	0.7256599874	0.4679481355	0.7809144524	0.8148319441
72	0.7260138675	0.4671595123	0.7810466682	0.8147351439
73	0.7261230814	0.4665755433	0.7811668643	0.8148964775
74	0.7270104002	0.4658986509	0.7816756947	0.8150793224
75	0.727048737	0.4653720441	0.7816276163	0.8149179887
76	0.72771586	0.4648837498	0.7820162505	0.8150685668
77	0.7274840675	0.4642282686	0.7820763486	0.8154880344
78	0.7282486781	0.4632681972	0.7825571332	0.8157461683
79	0.7295467171	0.4619306996	0.7834906568	0.8164667921
80	0.7303317417	0.461186892	0.7839073368	0.8165420812
81	0.7307215175	0.4599162581	0.7843200103	0.8170798602
82	0.7319413008	0.4588498227	0.7850532068	0.8174025276
83	0.7335259856	0.457572293	0.7860868938	0.8180155956
84	0.7337147646	0.4569566775	0.7861189461	0.8178650175
85	0.7351483299	0.4561331056	0.7869923716	0.8182629739
86	0.7354662602	0.4553243962	0.7872247508	0.8184458188
87	0.7363905119	0.4543791193	0.7877896727	0.8187039527
88	0.7375936597	0.4535967151	0.7885469086	0.8190911535
89	0.7377733598	0.4529143369	0.7886150197	0.8190373756
90	0.7380863692	0.4524757662	0.7887151832	0.8188975531
91	0.7391489911	0.4517320924	0.7894083144	0.8192955095
92	0.7397928818	0.4510513202	0.7898009552	0.8194675988
93	0.7400210188	0.4507958555	0.7898810859	0.8193815542
94	0.7406159912	0.4501291536	0.7901935959	0.8194138209
95	0.7410360144	0.4494698681	0.7904700471	0.8195751546
96	0.7415892683	0.4490248221	0.790766531	0.8196181769
97	0.7415881695	0.4483385408	0.7909468252	0.8200699113
98	0.7418573911	0.4478139327	0.7910870541	0.8200806668
99	0.7423866032	0.44727533	0.7914276099	0.8202635117
100	0.7429142586	0.446790699	0.7918362768	0.8206184458
101	0.7432378994	0.4462299604	0.7918843553	0.8203280452
102	0.7436391483	0.4456082208	0.7921007084	0.8203603119
103	0.7441780061	0.4450797227	0.7924813295	0.8206292014
104	0.7448053198	0.4446189421	0.7928899965	0.8208550686
105	0.7450275534	0.4441350097	0.7931183692	0.8211454692
106	0.7453198494	0.4437187616	0.793258598	0.8211239581
107	0.7452010946	0.4433412066	0.7933347223	0.8214681366
108	0.7454532882	0.4428882348	0.7935270361	0.8216294703
109	0.7456125186	0.4427115915	0.7936592519	0.8217585372
110	0.7458693087	0.4421327521	0.7937473957	0.8216509814
111	0.7464071383	0.4417800529	0.7941280169	0.8219198709
112	0.7465440516	0.441282517	0.7941680823	0.8218445819
113	0.7469207025	0.4409922847	0.7943603962	0.8218445819
114	0.7469841489	0.4407324299	0.7944565531	0.8220059156
115	0.7474709629	0.4403859309	0.7947690631	0.8221672493
116	0.7476331361	0.4399708599	0.7949453508	0.822403872
117	0.7473288543	0.4396888838	0.7947770762	0.8223716053
118	0.747853024	0.4393568193	0.7951977627	0.8227588061
119	0.7479295428	0.4390185371	0.7952538543	0.8228018284
120	0.7484107061	0.4385584731	0.7956144428	0.8230922291
121	0.7488886918	0.4382649718	0.7958508286	0.8230707179
122	0.7487827475	0.4378858081	0.7957626847	0.8229846733
123	0.7491452276	0.4376229922	0.7959950639	0.8231029847
124	0.7493290656	0.437284143	0.7960471489	0.8229954289
125	0.7491673728	0.4370295576	0.7960191032	0.8231352514
126	0.7496947256	0.436661404	0.7963236001	0.823221296
127	0.7498633792	0.4363647549	0.7964397897	0.8232965851
128	0.7499076832	0.4360734051	0.7964878682	0.8233611186
129	0.7501501088	0.4357783824	0.7966040578	0.8233396074
130	0.7504096767	0.435482032	0.7967923651	0.82347943
131	0.7504021329	0.4351487615	0.7967042213	0.8232643184
132	0.7505446034	0.4348405858	0.7967522998	0.8231997849
133	0.7506429516	0.4346282684	0.7968324305	0.8232750739
134	0.750800057	0.4344836603	0.7968965351	0.8232320516
135	0.7511859408	0.434256128	0.7972090452	0.8235224523
136	0.7513467815	0.4339631659	0.7973172217	0.8235869857
137	0.7515803341	0.4336440493	0.7975175486	0.8237913418
138	0.7519513969	0.4334389873	0.7978140325	0.8240602312
139	0.7520762691	0.4331865457	0.797870124	0.8240387201
140	0.7520209272	0.4328139657	0.7979422417	0.824296854
141	0.7522293557	0.4325409374	0.7980624379	0.8243291207
142	0.7523201086	0.4322808033	0.798226706	0.824630277
143	0.7526131034	0.4319754062	0.7983989871	0.8246840549
144	0.7524332725	0.431747262	0.7983228629	0.8247270772
145	0.7522894268	0.4316495123	0.7982066733	0.8246195214
146	0.7522914115	0.4314764636	0.7982747844	0.8247916106
147	0.7525400379	0.4312791319	0.7984911375	0.8250174778
148	0.7526416245	0.4311767835	0.7985352095	0.8249959667
149	0.752672304	0.4310047106	0.7985552422	0.8250067222
150	0.7527410636	0.4308337623	0.7986033206	0.825038989
151	0.7529895366	0.4304853021	0.7987275233	0.8250282334
152	0.7528901521	0.4302721316	0.7986594122	0.8249852111
153	0.7532623339	0.4300596808	0.7989438764	0.8252218338
154	0.7533458547	0.4298939335	0.799007981	0.8252756117
155	0.7535371213	0.4297649213	0.7991361903	0.8253509008
156	0.7538795031	0.4295376833	0.7993886022	0.8255445012
157	0.7544472447	0.4293228572	0.7997411776	0.8256950793
158	0.7544527699	0.429166912	0.7997732299	0.8257703684
159	0.7546159627	0.4289053638	0.7998453476	0.8257381016
160	0.7548976755	0.428769795	0.8000456745	0.8258779242
161	0.7549523183	0.4285085951	0.8000657072	0.825856413
162	0.7548643484	0.4281920167	0.8000617007	0.8259639688
163	0.7548625133	0.4279958689	0.8000857399	0.8260285023
164	0.7550403968	0.4277732779	0.8001738838	0.8260177467
165	0.7550691606	0.427612094	0.8002179557	0.8260930358
166	0.7551312087	0.4274483165	0.8002460015	0.8260822802
167	0.7551303084	0.4272923889	0.8002580211	0.8261145469
168	0.7554015111	0.4270484414	0.8003822238	0.8260715246
169	0.7556319018	0.4268178563	0.8005144396	0.8261037913
170	0.7554957864	0.4266172785	0.800406263	0.8260069911
171	0.7556384519	0.4264387797	0.8005344723	0.8261468137
172	0.7555808555	0.4262874155	0.8004463284	0.8259962355
173	0.7555725685	0.4261176936	0.8004503349	0.8260177467
174	0.7557243667	0.4258497243	0.800562518	0.8261037913
175	0.7559990776	0.4256363311	0.8007428123	0.8262005916
176	0.7561326287	0.4254362726	0.8008870477	0.826394192
177	0.7562538642	0.4252884353	0.8009791981	0.826469481
178	0.7566875481	0.4250220222	0.8012796885	0.8266630815
179	0.7569537431	0.4248401851	0.8014639892	0.8267813928
180	0.7571937329	0.4245984803	0.8016843489	0.8270287712
181	0.7571038265	0.42443708	0.8016002115	0.826931971
182	0.7572257454	0.4242991801	0.8016803423	0.8269749933
183	0.7575341391	0.4241492454	0.8019487804	0.8272546383
184	0.757679047	0.4240603164	0.8020409308	0.8272976607
185	0.7577956462	0.4238894776	0.8020769896	0.8272331272
186	0.758014062	0.4237569501	0.8022612904	0.827415972
187	0.7580420677	0.4235668781	0.8021891727	0.8271901049
188	0.7581468067	0.4234403525	0.8022893362	0.8273084162
189	0.7584192575	0.423311876	0.8024936697	0.8274697499
190	0.758492915	0.4231483417	0.8025858201	0.8276095725
191	0.7585848636	0.4230121613	0.8026338985	0.8276095725
192	0.758561199	0.4227946675	0.8026338985	0.8276418392
193	0.7588113067	0.4226293571	0.8028141928	0.8277709062
194	0.7593020008	0.4224557058	0.803202827	0.8281150847
195	0.7593634243	0.4222602259	0.8032308728	0.8281043291
196	0.7592858508	0.4220837561	0.8032108401	0.828158107
197	0.7595352325	0.421966195	0.8034031539	0.8283194407
198	0.7594527314	0.4217380323	0.8033270297	0.8282333961
199	0.7598018803	0.4215975095	0.8035634155	0.8283732186
200	0.7601645929	0.421413513	0.8038398667	0.8285990858
201	0.7601044366	0.4212547877	0.8037877817	0.8285453079
202	0.7599817734	0.4210289838	0.8037316901	0.828566819
203	0.760209855	0.4208600079	0.8038759255	0.8286313525
204	0.7602992401	0.4207153906	0.8039720824	0.8287604195
205	0.7603462041	0.4205016086	0.8039720824	0.828695886
206	0.7604378382	0.4203680249	0.8040201609	0.828695886
207	0.7603925871	0.4202271253	0.8039841021	0.8286636193
208	0.7605506879	0.420105972	0.8041163178	0.8287926862
209	0.7607471326	0.4199616414	0.8042645598	0.8289109976
210	0.7605283392	0.4198205237	0.8040922786	0.8287604195
211	0.7608014415	0.419707907	0.8042725728	0.8288572197
212	0.7607545839	0.4195801652	0.8042725728	0.8289217532
213	0.7610510289	0.4194258085	0.8044528671	0.8289862866
214	0.7611111655	0.4192612781	0.8045049521	0.8290400645
215	0.7609839677	0.419106404	0.8043807494	0.8288894864
216	0.7613025732	0.4189626538	0.8045850829	0.8289862866
217	0.761475478	0.4188689674	0.8047333248	0.8291368647
218	0.7615589398	0.4186881134	0.8047854098	0.8291583759
219	0.7615803281	0.4185129129	0.8048334883	0.8292551761
220	0.761806881	0.4183990344	0.8050017629	0.8293842431
221	0.7620478537	0.4182582233	0.8051980833	0.8295670879
222	0.7620623158	0.4182065529	0.805226129	0.8296208658
223	0.7621149902	0.4180675015	0.805270201	0.8296638881
224	0.7624007597	0.4179192824	0.8055145998	0.8299112665
225	0.7624911896	0.4177735732	0.8055867175	0.8299757999
226	0.7624530075	0.4176502557	0.8055706914	0.8299865555
227	0.7622642248	0.417529499	0.8054304625	0.8298789997
228	0.7624995106	0.4173811717	0.8055706914	0.829922022
229	0.7625741527	0.4172666138	0.8056508221	0.8300295778
230	0.762817596	0.4171495646	0.8057750248	0.8300188223
